Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
CPK,SAN,Outbound to,Green,Night,0.02357022603955162
OGP,DAW,Inbound to,Green,Evening,0.023570226039551584
BEL,HOS,Inbound to,Red,Midday,0.023570226039551584
MYS,TPT,Outbound to,Red,Morning,0.023570226039551584
HAR,CHA,Inbound to,Green,Midday,0.023570226039551584
BRD,PHI,Outbound to,Green,Evening,0.02357022603955158
WIN,KIL,Inbound to,Green,Evening,0.02357022603955154
BLU,KIN,Outbound to,Red,Morning,0.0235702260395515
KIN,BLA,Inbound to,Red,Morning,0.0235702260395515
CAB,BRD,Outbound to,Green,Midday,0.021357741103306415
DUN,COW,Inbound to,Green,Night,0.02097176232019654
CAB,BRD,Outbound to,Green,Night,0.02013952829329604
LEO,CPK,Inbound to,Green,Midday,0.019965878484081465
BEE,COW,Inbound to,Green,Midday,0.01987302392933458
SAN,GLE,Inbound to,Green,Midday,0.01666666666666667
BEL,RED,Outbound to,Red,Evening,0.016666666666666666
BEE,DUN,Outbound to,Green,Midday,0.016666666666666607
KIN,CVN,Inbound to,Red,Midday,0.01551506099638166
RAN,MIL,Inbound to,Green,Morning,0.013944333775567926
COW,WIN,Inbound to,Green,Night,0.013944333775567926
PHI,CAB,Outbound to,Green,Night,0.01367242823524418
RIA,BLA,Inbound to,Red,Morning,0.012116287046873378
RED,FET,Outbound to,Red,Evening,0.011785113019776064
WIN,BEE,Outbound to,Green,Midday,0.011785113019775794
BUS,ABB,Inbound to,Red,Evening,0.011785113019775792
CCK,GAL,Outbound to,Green,Morning,0.011785113019775792
LEO,CCK,Inbound to,Green,Morning,0.011785113019775792
JAM,DRI,Inbound to,Red,Morning,0.011785113019775792
STI,WIN,Outbound to,Green,Morning,0.011785113019775792
BAL,SAN,Inbound to,Green,Night,0.011785113019775792
BAW,LAU,Inbound to,Green,Morning,0.011785113019775792
RAN,COW,Inbound to,Green,Evening,0.011785113019775792
DRI,KYL,Inbound to,Red,Evening,0.011785113019775792
GDK,FOU,Inbound to,Red,Evening,0.011785113019775792
SAN,CPK,Inbound to,Green,Night,0.011785113019775792
DOM,OGP,Inbound to,Green,Evening,0.011785113019775792
MUS,FOU,Outbound to,Red,Evening,0.011785113019775792
BAL,MIL,Outbound to,Green,Evening,0.01178511301977579
FOR,CVN,Outbound to,Red,Evening,0.01178511301977577
RED,HOS,Outbound to,Red,Morning,0.01178511301977575
CHA,WIN,Outbound to,Green,Evening,0.01178511301977575
COO,RED,Inbound to,Red,Morning,0.01178511301977575
DUN,CPK,Outbound to,Green,Morning,0.01178511301977575
SMI,JAM,Outbound to,Red,Morning,0.01178511301977575
COW,RAN,Outbound to,Green,Night,0.01178511301977575
DUN,SAN,Outbound to,Green,Morning,0.01178511301977575
CPK,KIL,Inbound to,Green,Midday,0.01178511301977575
CPK,KIL,Inbound to,Green,Evening,0.01178511301977575
LEO,LAU,Outbound to,Green,Night,0.01178511301977575
OUP,CAB,Inbound to,Green,Morning,0.011785113019775436
SAN,LEO,Outbound to,Green,Midday,0.011785113019775436
GLE,GAL,Inbound to,Green,Evening,0.01145023472040409
CPK,GLE,Inbound to,Green,Night,0.011428722836940958
GLE,GAL,Inbound to,Green,Midday,0.010785540208919244
GOL,BLU,Inbound to,Red,Evening,0.010703808753134777
GAL,LEO,Inbound to,Green,Midday,0.010471940685996106
BLU,RED,Inbound to,Red,Midday,0.00991365027986763
MAR,PAR,Outbound to,Green,Midday,0.00962250448649384
HAR,RAN,Inbound to,Green,Night,0.009622504486493764
DUN,KIL,Inbound to,Green,Midday,0.009622504486493762
LAU,BRI,Inbound to,Green,Morning,0.009622504486493762
HEU,SMI,Outbound to,Red,Evening,0.009622504486493762
MIL,BAL,Inbound to,Green,Evening,0.009622504486493762
CHA,BEE,Inbound to,Green,Evening,0.009622504486493762
KIN,CVN,Inbound to,Red,Morning,0.009622504486493762
BAL,STI,Inbound to,Green,Night,0.009622504486493762
STS,HAR,Inbound to,Green,Night,0.009622504486493762
KIL,SAN,Inbound to,Green,Midday,0.00962250448649373
LEO,CPK,Inbound to,Green,Night,0.00962250448649373
GLE,GAL,Inbound to,Green,Night,0.009187763292971498
GAL,LEO,Inbound to,Green,Night,0.009137166700153035
SUI,RIA,Outbound to,Red,Night,0.008550368501033525
GDK,MYS,Outbound to,Red,Midday,0.007925089593988932
BEE,WIN,Inbound to,Green,Morning,0.007856742013183862
FAT,DRI,Inbound to,Red,Midday,0.007856742013183862
COW,DUN,Inbound to,Green,Morning,0.007453559924999299
BLU,RED,Inbound to,Red,Morning,0.007135872502089853
BEL,FET,Inbound to,Red,Evening,0.006804138174397717
ABB,GDK,Outbound to,Red,Morning,0.006767890075840451
GRA,CAB,Outbound to,Green,Night,0.005892556509887899
KIN,COO,Inbound to,Red,Morning,0.005892556509887896
WES,DAW,Inbound to,Green,Evening,0.005892556509887875
OUP,OGP,Inbound to,Green,Midday,0.005892556509887875
BAW,LEO,Outbound to,Green,Night,0.003726779962499649
PAR,DOM,Outbound to,Green,Night,0.0032075014954979207
RIA,DRI,Inbound to,Red,Night,0.0
CAB,BRD,Inbound to,Green,Evening,0.0
BRD,OGP,Inbound to,Green,Morning,0.0
RED,BLU,Outbound to,Red,Evening,0.0
SDK,ABB,Inbound to,Red,Morning,0.0
COW,CHA,Outbound to,Green,Midday,0.0
DUN,STI,Inbound to,Green,Morning,0.0
FOR,CIT,Outbound to,Red,Night,0.0
COW,WIN,Inbound to,Green,Midday,0.0
KIL,WIN,Inbound to,Green,Evening,0.0
KIL,SAN,Inbound to,Green,Night,0.0
CPK,BAL,Outbound to,Green,Morning,0.0
KIL,SAN,Inbound to,Green,Evening,0.0
BEL,HOS,Inbound to,Red,Evening,0.0
SAG,CIT,Inbound to,Red,Night,0.0
BRI,CCK,Inbound to,Green,Morning,0.0
GOL,KYL,Inbound to,Red,Morning,0.0
RAN,COW,Inbound to,Green,Night,0.0
MUS,FAT,Inbound to,Red,Morning,0.0
MIL,RAN,Inbound to,Green,Midday,0.0
STS,CHA,Inbound to,Green,Night,0.0
DOM,WES,Inbound to,Green,Morning,0.0
CIT,FET,Inbound to,Red,Night,0.0
CIT,FOR,Inbound to,Red,Night,0.0
SAG,CVN,Inbound to,Red,Morning,0.0
CHE,BAW,Outbound to,Green,Evening,0.0
DRI,RIA,Outbound to,Red,Night,0.0
CHE,BAW,Outbound to,Green,Midday,0.0
FET,CVN,Inbound to,Red,Night,0.0
ABB,MYS,Outbound to,Red,Midday,0.0
