TramJourneyID,TravelTimeMinutes,Line,Direction,hour_of_day,ServiceDay,Period
BRI_BRO02_2020_02_25,57.983333333333334,Green,Inbound to,5,2020-02-25,Morning
BRI_BRO02_2020_02_26,58.03333333333333,Green,Inbound to,5,2020-02-26,Morning
BRI_BRO02_2020_02_27,59.0,Green,Inbound to,5,2020-02-27,Morning
BRI_BRO02_2020_02_28,58.0,Green,Inbound to,5,2020-02-28,Morning
BRI_BRO02_2020_02_29,55.95,Green,Inbound to,7,2020-02-29,Morning
BRI_BRO02_2020_03_01,56.016666666666666,Green,Inbound to,7,2020-03-01,Morning
BRI_BRO02_2020_03_02,56.96666666666667,Green,Inbound to,5,2020-03-02,Morning
BRI_BRO02_2020_03_03,57.95,Green,Inbound to,8,2020-03-03,Morning
BRI_BRO02_2020_03_04,56.0,Green,Inbound to,6,2020-03-04,Morning
BRI_BRO02_2020_03_05,59.983333333333334,Green,Inbound to,5,2020-03-05,Morning
BRI_BRO02_2020_03_06,60.916666666666664,Green,Inbound to,5,2020-03-06,Morning
BRI_BRO02_2020_03_07,59.96666666666667,Green,Inbound to,6,2020-03-07,Morning
BRI_BRO02_2020_03_08,55.983333333333334,Green,Inbound to,8,2020-03-08,Morning
BRI_BRO02_2020_03_09,56.983333333333334,Green,Inbound to,5,2020-03-09,Morning
BRI_BRO02_2020_03_10,55.95,Green,Inbound to,5,2020-03-10,Morning
BRI_BRO02_2020_03_11,57.93333333333333,Green,Inbound to,10,2020-03-11,Morning
BRI_BRO02_2020_03_12,55.96666666666667,Green,Inbound to,5,2020-03-12,Morning
BRI_BRO02_2020_03_13,58.983333333333334,Green,Inbound to,5,2020-03-13,Morning
BRI_BRO02_2020_03_14,57.983333333333334,Green,Inbound to,6,2020-03-14,Morning
BRI_BRO02_2020_03_15,57.96666666666667,Green,Inbound to,7,2020-03-15,Morning
BRI_BRO02_2020_03_17,58.983333333333334,Green,Inbound to,7,2020-03-17,Morning
BRI_BRO02_2020_03_18,57.983333333333334,Green,Inbound to,10,2020-03-18,Morning
BRI_BRO02_2020_03_19,62.0,Green,Inbound to,8,2020-03-19,Morning
BRI_BRO03_2020_01_21,63.016666666666666,Green,Inbound to,8,2020-01-21,Morning
BRI_BRO03_2020_01_22,57.95,Green,Inbound to,9,2020-01-22,Morning
BRI_BRO03_2020_01_25,57.93333333333333,Green,Inbound to,7,2020-01-25,Morning
BRI_BRO03_2020_01_26,61.95,Green,Inbound to,7,2020-01-26,Morning
BRI_BRO03_2020_01_27,56.983333333333334,Green,Inbound to,11,2020-01-27,Midday
BRI_BRO03_2020_01_28,57.95,Green,Inbound to,10,2020-01-28,Morning
BRI_BRO03_2020_01_30,58.0,Green,Inbound to,6,2020-01-30,Morning
BRI_BRO03_2020_02_01,57.96666666666667,Green,Inbound to,7,2020-02-01,Morning
BRI_BRO03_2020_02_02,57.983333333333334,Green,Inbound to,7,2020-02-02,Morning
BRI_BRO03_2020_02_05,58.03333333333333,Green,Inbound to,10,2020-02-05,Morning
BRI_BRO03_2020_02_08,59.96666666666667,Green,Inbound to,7,2020-02-08,Morning
BRI_BRO03_2020_02_09,59.95,Green,Inbound to,7,2020-02-09,Morning
BRI_BRO03_2020_02_15,55.983333333333334,Green,Inbound to,7,2020-02-15,Morning
BRI_BRO03_2020_02_16,55.96666666666667,Green,Inbound to,7,2020-02-16,Morning
BRI_BRO03_2020_02_18,61.983333333333334,Green,Inbound to,6,2020-02-18,Morning
BRI_BRO03_2020_02_19,60.81666666666667,Green,Inbound to,8,2020-02-19,Morning
BRI_BRO03_2020_02_20,59.65,Green,Inbound to,10,2020-02-20,Morning
BRI_BRO03_2020_02_21,63.0,Green,Inbound to,6,2020-02-21,Morning
BRI_BRO03_2020_02_22,57.96666666666667,Green,Inbound to,7,2020-02-22,Morning
BRI_BRO03_2020_02_23,57.983333333333334,Green,Inbound to,7,2020-02-23,Morning
BRI_BRO03_2020_02_26,62.06666666666666,Green,Inbound to,6,2020-02-26,Morning
BRI_BRO03_2020_02_27,59.95,Green,Inbound to,9,2020-02-27,Morning
BRI_BRO03_2020_02_29,59.95,Green,Inbound to,7,2020-02-29,Morning
BRI_BRO03_2020_03_01,56.0,Green,Inbound to,7,2020-03-01,Morning
BRI_BRO03_2020_03_03,59.95,Green,Inbound to,9,2020-03-03,Morning
BRI_BRO03_2020_03_07,60.016666666666666,Green,Inbound to,7,2020-03-07,Morning
BRI_BRO03_2020_03_08,56.1,Green,Inbound to,8,2020-03-08,Morning
BRI_BRO03_2020_03_11,59.86666666666667,Green,Inbound to,10,2020-03-11,Morning
BRI_BRO03_2020_03_12,62.86666666666667,Green,Inbound to,8,2020-03-12,Morning
BRI_BRO03_2020_03_13,62.88333333333333,Green,Inbound to,8,2020-03-13,Morning
