Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
BAW,LEO,Outbound to,Green,Evening,0.4190817190774156
MUS,JAM,Inbound to,Red,Midday,0.417529863134285
GOL,BLU,Outbound to,Red,Morning,0.41521735873926446
FOR,CVN,Inbound to,Red,Morning,0.41520506726480716
GLE,CPK,Outbound to,Green,Midday,0.4151734919894166
CAB,PHI,Inbound to,Green,Evening,0.41303281455849505
WIN,BAL,Outbound to,Green,Midday,0.4123909919786139
WIN,DUN,Inbound to,Green,Morning,0.40753091733871843
CHA,BEE,Inbound to,Green,Morning,0.4056088245077004
GLE,SAN,Inbound to,Green,Midday,0.4042889660997297
KIL,DUN,Inbound to,Green,Morning,0.39976286239461184
BRI,LAU,Inbound to,Green,Midday,0.3973295635493259
BRI,LAU,Inbound to,Green,Night,0.3963365974705924
BLA,SUI,Inbound to,Red,Night,0.3953800983535734
SDK,GDK,Outbound to,Red,Morning,0.3951167461873169
BEL,KIN,Outbound to,Red,Midday,0.39422424962271124
GRA,BRD,Inbound to,Green,Night,0.3909559050480178
WIN,COW,Inbound to,Green,Midday,0.38822527719427935
RIA,JAM,Inbound to,Red,Night,0.3844550483926176
GAL,GLE,Outbound to,Green,Midday,0.3839795568457734
MAR,PAR,Outbound to,Green,Morning,0.3830161731427132
KIL,DUN,Inbound to,Green,Midday,0.38216468762504613
RIA,GOL,Outbound to,Red,Morning,0.38115059672143836
PHI,BRD,Inbound to,Green,Night,0.38100699462765597
GOL,RIA,Inbound to,Red,Night,0.3809820521111636
MIL,BEE,Inbound to,Green,Night,0.3802081939774114
CVN,FOR,Outbound to,Red,Midday,0.38009454149130356
STI,SAN,Inbound to,Green,Morning,0.37889859300870365
BAL,KIL,Inbound to,Green,Evening,0.37880028199595983
SUI,GOL,Inbound to,Red,Morning,0.37806726757160125
BEE,CHA,Outbound to,Green,Evening,0.37760965180950823
CCK,BAW,Outbound to,Green,Midday,0.3763863263545405
STI,SAN,Inbound to,Green,Evening,0.37583436112163826
SUI,FAT,Inbound to,Red,Night,0.37472296040245556
LEO,GLE,Inbound to,Green,Evening,0.3703032140233095
BAL,DUN,Outbound to,Green,Evening,0.3681010644975856
SMI,HEU,Outbound to,Red,Night,0.3667807789472343
BEL,CVN,Inbound to,Red,Midday,0.3653385036130496
BEE,CHA,Inbound to,Green,Evening,0.3646244057459158
DUN,KIL,Outbound to,Green,Night,0.3618972483545404
FOU,HEU,Outbound to,Red,Morning,0.3618867239266071
TAL,COO,Inbound to,Red,Evening,0.36176710582995547
STI,KIL,Outbound to,Green,Evening,0.3612792886633078
DRI,RIA,Inbound to,Red,Night,0.3595188918924301
WES,OUP,Inbound to,Green,Midday,0.3594459471031618
BRD,OUP,Inbound to,Green,Morning,0.35944594710316163
PHI,BRD,Outbound to,Green,Morning,0.3588524879479287
RIA,SUI,Inbound to,Red,Morning,0.35878408913001225
GAL,CPK,Inbound to,Green,Midday,0.3581929316142472
BEE,CHA,Inbound to,Green,Night,0.35742426165716995
MYS,GDK,Inbound to,Red,Evening,0.356405741947902
SUI,DRI,Outbound to,Red,Morning,0.35601614002768506
BEL,CVN,Inbound to,Red,Morning,0.3535533905932739
COW,CHA,Outbound to,Green,Morning,0.3519164099615943
CAB,PHI,Inbound to,Green,Midday,0.35123218851942434
SAG,FOR,Inbound to,Red,Night,0.35033289157690417
CAB,PHI,Inbound to,Green,Night,0.3501871408062787
PHI,BRD,Inbound to,Green,Midday,0.34894290221677937
MIL,BEE,Inbound to,Green,Midday,0.34783373168447
FAT,GOL,Inbound to,Red,Morning,0.3465795298167448
PHI,BRD,Outbound to,Green,Midday,0.345146359137362
KYL,BLU,Outbound to,Red,Morning,0.34446089074150255
FOR,SAG,Inbound to,Red,Midday,0.34388046621455165
COW,WIN,Outbound to,Green,Evening,0.34368536719759935
FAT,GOL,Inbound to,Red,Midday,0.33877515413307036
LEO,GLE,Inbound to,Green,Midday,0.33796569217153444
HEU,MUS,Outbound to,Red,Morning,0.3378266523542304
CHA,BEE,Outbound to,Green,Evening,0.33761507439180793
BLU,KYL,Inbound to,Red,Evening,0.33592599658239514
RAN,CHA,Outbound to,Green,Morning,0.33483921734030125
RAN,CHA,Outbound to,Green,Evening,0.3336551059468735
DUN,KIL,Outbound to,Green,Evening,0.33329790891070243
PHI,DOM,Inbound to,Green,Night,0.33186870207777147
WIN,BAL,Outbound to,Green,Night,0.3301568781711907
DUN,KIL,Outbound to,Green,Midday,0.3294999019741713
BEE,CHA,Inbound to,Green,Midday,0.31843585797236934
COO,HOS,Inbound to,Red,Evening,0.31739273834486026
WIN,MIL,Outbound to,Green,Midday,0.3139791624848853
DOM,MAR,Outbound to,Green,Night,0.30838538581424374
SAN,BAL,Outbound to,Green,Evening,0.3064129385141705
BEE,CHA,Inbound to,Green,Morning,0.3051270266440362
COW,RAN,Inbound to,Green,Morning,0.30413449360303857
KIL,BAL,Outbound to,Green,Morning,0.30248764287548907
ABB,FOU,Inbound to,Red,Morning,0.3016232905461201
TAL,COO,Inbound to,Red,Midday,0.3002567925181352
TPT,MYS,Outbound to,Red,Morning,0.29846999329192214
SUI,BLA,Inbound to,Red,Midday,0.29825043381574734
JAM,RIA,Inbound to,Red,Evening,0.2970031375102534
STI,SAN,Inbound to,Green,Midday,0.29677905648199243
LAU,BAW,Outbound to,Green,Morning,0.29591222759152513
SDK,GDK,Outbound to,Red,Night,0.29542396830771706
GOL,DRI,Inbound to,Red,Morning,0.2939951517319069
PHI,DOM,Inbound to,Green,Morning,0.2938604285564906
COW,RAN,Inbound to,Green,Night,0.29355246070923036
CVN,FET,Outbound to,Red,Midday,0.2931177032124473
RIA,DRI,Outbound to,Red,Morning,0.291869677536401
SUI,DRI,Inbound to,Red,Night,0.2911801497863988
CCK,LEO,Outbound to,Green,Morning,0.2908377431280949
MIL,WIN,Inbound to,Green,Morning,0.2897399159260026
LEO,GAL,Outbound to,Green,Morning,0.2893095804829041
BRD,PAR,Outbound to,Green,Night,0.2887974282239593
CHE,CCK,Outbound to,Green,Midday,0.2886751345948129
GRA,BRD,Inbound to,Green,Morning,0.28816011518788215
LEO,GLE,Inbound to,Green,Night,0.28804025145348733
LEO,GLE,Outbound to,Green,Morning,0.28723663717317777
KYL,BLU,Outbound to,Red,Midday,0.2870686408675551
HOS,TAL,Inbound to,Red,Evening,0.28583975544402684
BAL,DUN,Outbound to,Green,Night,0.28408468481038623
BUS,CON,Outbound to,Red,Midday,0.2840283707914279
WIN,COW,Inbound to,Green,Night,0.2834287989972494
SAN,STI,Outbound to,Green,Night,0.28316903068977795
GOL,DRI,Inbound to,Red,Night,0.28233513961317847
TAL,COO,Inbound to,Red,Night,0.282164977355441
LAU,BAW,Outbound to,Green,Evening,0.2814890959009089
SUI,GOL,Inbound to,Red,Night,0.2789477653614962
CHA,BEE,Outbound to,Green,Midday,0.27883376561569667
GLE,SAN,Inbound to,Green,Night,0.2785989934101137
MIL,BEE,Inbound to,Green,Evening,0.2785962264013432
KYL,RED,Inbound to,Red,Midday,0.27742718069285977
PHI,BRD,Inbound to,Green,Morning,0.27559082643733224
SDK,GDK,Inbound to,Red,Evening,0.2747422060295977
RAN,CHA,Outbound to,Green,Midday,0.27207234569578337
GOL,SUI,Outbound to,Red,Evening,0.27134469272436423
CPK,STI,Outbound to,Green,Evening,0.2695546739016451
KIL,STI,Inbound to,Green,Morning,0.267050681960357
WIN,MIL,Outbound to,Green,Evening,0.26664036086279874
CAB,PHI,Inbound to,Green,Morning,0.2591438146572546
CIT,FET,Outbound to,Red,Evening,0.2558925565098879
BAL,WIN,Inbound to,Green,Midday,0.25458944728360505
JAM,SUI,Outbound to,Red,Night,0.25234899709331904
BAW,GAL,Outbound to,Green,Morning,0.2514018382481706
