Line,Direction,Stop,PeakPeriod,AvgHeadwayMinutes
Red,Inbound,RED,Morning,13.096801346801348
Red,Inbound,RIA,Evening,12.0809007981756
Red,Inbound,RIA,Morning,13.471001031991744
Red,Inbound,SAG,Evening,17.435206532180594
Red,Inbound,SAG,Morning,17.344465408805032
Red,Inbound,SDK,Evening,19.8
Red,Inbound,SDK,Morning,23.0
Red,Inbound,SMI,Evening,12.114070729872084
Red,Inbound,SMI,Morning,13.670311674590598
Red,Inbound,SUI,Evening,12.020389266817839
Red,Inbound,SUI,Morning,13.393419062027231
Red,Inbound,TAL,Evening,17.35651515151515
Red,Inbound,TAL,Morning,18.234680638722555
Red,Outbound,ABB,Evening,8.125802246289611
Red,Outbound,ABB,Morning,9.06752537080406
Red,Outbound,BEL,Evening,8.121203468697123
Red,Outbound,BEL,Morning,10.4351137487636
Red,Outbound,BLU,Evening,8.196893203883496
Red,Outbound,BLU,Morning,10.046146953405017
Red,Outbound,BUS,Evening,17.651761517615174
Red,Outbound,BUS,Morning,14.696373456790123
Red,Outbound,CIT,Evening,14.60099502487562
Red,Outbound,CIT,Morning,13.198172043010754
Red,Outbound,CON,Evening,17.729247730220493
Red,Outbound,CON,Morning,14.576926010678871
Red,Outbound,COO,Evening,14.282136524822695
Red,Outbound,COO,Morning,16.705524861878455
Red,Outbound,CVN,Evening,14.057740796772565
Red,Outbound,CVN,Morning,13.012056737588651
Red,Outbound,DRI,Evening,8.241019053735817
Red,Outbound,DRI,Morning,9.712823949955316
Red,Outbound,FET,Evening,13.97241641337386
Red,Outbound,FET,Morning,13.25612449799197
Red,Outbound,FOR,Evening,18.595
Red,Outbound,FOU,Evening,8.102937034801851
Red,Outbound,FOU,Morning,9.368177083333332
Red,Outbound,GDK,Evening,11.851876046901173
Red,Outbound,GDK,Morning,13.346886912325285
Red,Outbound,GOL,Evening,8.254314230521572
Red,Outbound,GOL,Morning,9.619037037037037
Red,Outbound,HEU,Evening,8.334341791368466
Red,Outbound,HEU,Morning,9.578758445945946
Red,Outbound,HOS,Evening,16.497222222222224
Red,Outbound,HOS,Morning,17.002777777777776
Red,Outbound,JAM,Evening,8.328349619978285
Red,Outbound,JAM,Morning,9.612218370883882
Red,Outbound,JER,Evening,8.123469180859692
Red,Outbound,JER,Morning,9.175032679738562
Red,Outbound,KIN,Evening,8.14972399150743
Red,Outbound,KIN,Morning,10.445512195121951
Red,Outbound,KYL,Evening,8.206160120197467
Red,Outbound,KYL,Morning,10.378580362726705
Red,Outbound,MUS,Evening,8.30358306188925
Red,Outbound,MUS,Morning,9.56390507910075
Red,Outbound,MYS,Evening,11.878175008512088
Red,Outbound,MYS,Morning,13.34324494949495
Red,Outbound,RED,Evening,8.191149870801034
Red,Outbound,RED,Morning,10.421826923076924
Red,Outbound,RIA,Evening,8.307099762982116
Red,Outbound,RIA,Morning,9.599505094614264
Red,Outbound,SDK,Evening,11.894164143962328
Red,Outbound,SDK,Morning,13.367976622329707
Red,Outbound,SMI,Evening,8.058869336569579
Red,Outbound,SMI,Morning,9.410302556077204
Red,Outbound,SUI,Evening,8.27914242620125
Red,Outbound,SUI,Morning,9.642687224669604
Red,Outbound,TPT,Evening,11.838245088245088
Red,Outbound,TPT,Morning,13.442307692307692
