Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
BLA,DRI,Inbound to,Red,Midday,0.7999406212587621
GRA,BRD,Outbound to,Green,Midday,0.7996806468007548
GDK,MYS,Inbound to,Red,Night,0.7995089492244115
DRI,GOL,Inbound to,Red,Morning,0.7993050634547377
HAR,STS,Inbound to,Green,Night,0.7991395727504672
STI,KIL,Inbound to,Green,Evening,0.7990672040811048
DAW,WES,Inbound to,Green,Night,0.7986614760782983
SUI,DRI,Inbound to,Red,Midday,0.7984507509358073
JAM,RIA,Outbound to,Red,Midday,0.7979299853476761
CIT,FOR,Outbound to,Red,Morning,0.7978128507109533
GAL,CPK,Outbound to,Green,Midday,0.7974323924860978
BAL,SAN,Outbound to,Green,Evening,0.7973920632623439
MUS,SMI,Inbound to,Red,Evening,0.7964101129037776
STS,DAW,Inbound to,Green,Morning,0.7961212896206508
PAR,DOM,Outbound to,Green,Morning,0.79600407199015
DOM,PAR,Outbound to,Green,Midday,0.7949768016634122
LEO,GLE,Outbound to,Green,Midday,0.7947361072918924
KYL,RED,Outbound to,Red,Morning,0.7945538377613358
DUN,BAL,Outbound to,Green,Morning,0.7938566554259732
KYL,BLU,Inbound to,Red,Evening,0.7934174350320098
HEU,JAM,Outbound to,Red,Midday,0.7932682921802027
RED,COO,Outbound to,Red,Midday,0.7925781172820598
SMI,FOU,Inbound to,Red,Night,0.7920130269924582
BEL,KIN,Outbound to,Red,Midday,0.7919960031590415
CON,ABB,Outbound to,Red,Midday,0.7904650267841588
BUS,ABB,Outbound to,Red,Evening,0.788831665185736
GRA,BRD,Outbound to,Green,Night,0.7884935311354182
HAR,STS,Inbound to,Green,Evening,0.7884661576976688
OUP,BRD,Inbound to,Green,Evening,0.7884097309534902
DRI,BLU,Outbound to,Red,Midday,0.7882413407537897
KIN,BEL,Inbound to,Red,Midday,0.7874863554706809
CVN,CIT,Outbound to,Red,Evening,0.787067176333256
BRO,CAB,Outbound to,Green,Night,0.7865851490189751
CAB,PHI,Outbound to,Green,Evening,0.7853759247319223
RIA,JAM,Outbound to,Red,Evening,0.7842037267724429
SMI,FOU,Inbound to,Red,Evening,0.7840249769808894
RIA,SUI,Outbound to,Red,Midday,0.783412745787285
SUI,RIA,Inbound to,Red,Night,0.7832914119716549
CHA,HAR,Inbound to,Green,Morning,0.7822596655366109
BRD,DOM,Outbound to,Green,Evening,0.7821469701743656
DRI,BLU,Inbound to,Red,Midday,0.7812171276228336
STS,DAW,Inbound to,Green,Night,0.781084314693417
MYS,SDK,Inbound to,Red,Night,0.7807994367413481
HAR,STS,Inbound to,Green,Midday,0.7805429708504005
SAN,BAL,Outbound to,Green,Morning,0.7802539947326744
RAN,COW,Outbound to,Green,Morning,0.779804088452538
TAL,HOS,Inbound to,Red,Morning,0.7790013013334319
SAG,FOR,Inbound to,Red,Midday,0.7779571552812001
DOM,GRA,Inbound to,Green,Midday,0.776123154410314
HEU,JAM,Outbound to,Red,Evening,0.7755440260178753
MYS,GDK,Outbound to,Red,Evening,0.7753440445020565
DRI,GOL,Inbound to,Red,Night,0.7748368674065585
BLU,KYL,Outbound to,Red,Evening,0.7739772028132323
MYS,ABB,Outbound to,Red,Midday,0.773831642575976
DRI,SUI,Outbound to,Red,Evening,0.7734355984470862
DUN,MIL,Inbound to,Green,Evening,0.7733794951106747
SDK,GDK,Inbound to,Red,Midday,0.7729366189966543
FOU,MUS,Outbound to,Red,Evening,0.7721903302135286
WIN,BAL,Outbound to,Green,Morning,0.7721653167448445
KYL,BLU,Inbound to,Red,Night,0.770932372931458
DUN,KIL,Inbound to,Green,Morning,0.7705427907213743
BLA,DRI,Inbound to,Red,Morning,0.770493362878816
RIA,SUI,Outbound to,Red,Night,0.7700797300634742
COW,BEE,Inbound to,Green,Morning,0.7694739042177307
GOL,BLA,Inbound to,Red,Midday,0.7690818917767986
