Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
TRY,HAR,Outbound to,Green,Morning,1.7319158909348475
MAR,HAR,Outbound to,Green,Morning,1.7304663790114183
WIN,BAL,Inbound to,Green,Midday,1.7272529570904713
KYL,KIN,Outbound to,Red,Evening,1.7267870700874626
STS,WES,Inbound to,Green,Midday,1.7232663780652988
BEE,MIL,Inbound to,Green,Night,1.7224283030823835
FOR,FET,Inbound to,Red,Evening,1.7214577156197204
ABB,FOU,Outbound to,Red,Evening,1.7179444253284069
ABB,SDK,Inbound to,Red,Morning,1.7178503227777917
CHA,DAW,Inbound to,Green,Morning,1.7112499015310991
TRY,STS,Outbound to,Green,Morning,1.7092054250935818
WES,BRD,Inbound to,Green,Night,1.708502701631309
WIN,BEE,Inbound to,Green,Morning,1.7059862487890507
HAR,DAW,Inbound to,Green,Morning,1.7043502852017436
TRY,HAR,Outbound to,Green,Evening,1.702888696967908
RED,BLA,Inbound to,Red,Morning,1.7014926328751883
DUN,COW,Inbound to,Green,Morning,1.6982401291336362
RED,BLU,Inbound to,Red,Midday,1.6949843273209335
JER,MUS,Outbound to,Red,Morning,1.6921157415835575
DRI,JAM,Inbound to,Red,Evening,1.689363999772116
SAN,GAL,Outbound to,Green,Evening,1.685154555498971
WIN,KIL,Outbound to,Green,Morning,1.6821104852084674
FAT,MUS,Inbound to,Red,Morning,1.6808589107692296
KIL,CPK,Outbound to,Green,Midday,1.6793742058698844
OGP,BRD,Inbound to,Green,Evening,1.6771189517860257
ABB,SDK,Inbound to,Red,Night,1.674850314817399
KYL,SUI,Inbound to,Red,Midday,1.6701079092618591
BLU,GOL,Inbound to,Red,Midday,1.6700548363918568
ABB,MYS,Inbound to,Red,Morning,1.6681882563329142
FAT,SMI,Inbound to,Red,Morning,1.6615379573228704
DUN,STI,Outbound to,Green,Morning,1.6614967827744818
BEL,RED,Inbound to,Red,Midday,1.6593256688213804
SMI,GDK,Inbound to,Red,Evening,1.6567908922743708
ABB,SMI,Outbound to,Red,Morning,1.6561538097638884
KYL,DRI,Inbound to,Red,Morning,1.6526608088882129
STI,GLE,Outbound to,Green,Midday,1.6506016411681042
RED,BLA,Inbound to,Red,Midday,1.649934313860771
MIL,KIL,Outbound to,Green,Evening,1.6499158227686108
MAR,DAW,Outbound to,Green,Morning,1.6453046519570051
MAR,STS,Outbound to,Green,Morning,1.6415584119328264
FAT,SMI,Inbound to,Red,Midday,1.6413710481576809
STS,WES,Inbound to,Green,Morning,1.6393201567775548
BLU,GOL,Inbound to,Red,Morning,1.637763293957998
CHA,COW,Outbound to,Green,Morning,1.6349393265256444
SMI,GDK,Inbound to,Red,Morning,1.6334275142014032
DAW,RAN,Outbound to,Green,Morning,1.6332598315512625
FOU,MYS,Inbound to,Red,Evening,1.6282986762158222
KYL,KIN,Outbound to,Red,Night,1.626245374485994
COW,CHA,Inbound to,Green,Evening,1.625020282272039
BEL,CIT,Outbound to,Red,Morning,1.6208957493629965
MIL,RAN,Inbound to,Green,Midday,1.6194063269766028
WES,DOM,Inbound to,Green,Morning,1.6188700088244634
STS,CHA,Outbound to,Green,Morning,1.6174905567451432
DAW,HAR,Outbound to,Green,Morning,1.6159889918913817
RED,BLU,Inbound to,Red,Morning,1.609286614923624
KIN,HOS,Outbound to,Red,Morning,1.6043225100301506
SUI,JAM,Inbound to,Red,Morning,1.6036024955060157
KIN,KYL,Inbound to,Red,Evening,1.602537123153941
HAR,BEE,Outbound to,Green,Morning,1.6020261454404792
KYL,KIN,Outbound to,Red,Morning,1.5997730989556638
KIN,COO,Outbound to,Red,Morning,1.5993193550204043
WIN,STI,Outbound to,Green,Morning,1.5956776313353045
SUI,JAM,Inbound to,Red,Night,1.5882609724685257
WIN,BEE,Inbound to,Green,Evening,1.5881228367146007
KYL,GOL,Inbound to,Red,Morning,1.580538783498985
GOL,JAM,Inbound to,Red,Midday,1.5797953889508933
MIL,RAN,Inbound to,Green,Morning,1.579574262546883
TRY,STS,Outbound to,Green,Evening,1.5788002330326203
RED,COO,Outbound to,Red,Morning,1.577668209365263
WES,OUP,Inbound to,Green,Evening,1.5774778480406075
BAW,LAU,Outbound to,Green,Midday,1.5753521286621965
BLU,SUI,Inbound to,Red,Morning,1.5710142795132245
STS,COW,Outbound to,Green,Morning,1.5696552502016026
SAN,GLE,Outbound to,Green,Morning,1.5685097122542337
OUP,PHI,Inbound to,Green,Evening,1.5669384821254049
BEL,RED,Inbound to,Red,Evening,1.5659222735938418
DAW,OGP,Inbound to,Green,Night,1.5642398127436594
BLA,FAT,Inbound to,Red,Midday,1.5616242404879088
FAT,MUS,Inbound to,Red,Evening,1.560319480224779
BEL,RED,Inbound to,Red,Morning,1.559072502831065
HAR,COW,Outbound to,Green,Midday,1.5491933384829668
RED,BEL,Outbound to,Red,Night,1.5477568672292803
MAR,DAW,Outbound to,Green,Evening,1.5438570235808986
CPK,KIL,Inbound to,Green,Morning,1.5337716646374502
SMI,GDK,Inbound to,Red,Night,1.5275252316519465
HAR,BEE,Outbound to,Green,Night,1.525736009396898
FET,RED,Inbound to,Red,Morning,1.5252197154680587
STI,DUN,Inbound to,Green,Morning,1.5237507724802075
KYL,GOL,Inbound to,Red,Midday,1.5226154024829566
GLE,KIL,Inbound to,Green,Midday,1.5223337347638328
SUI,JAM,Inbound to,Red,Midday,1.5198961548901062
LEO,CCK,Outbound to,Green,Evening,1.5176919737345556
GAL,CCK,Outbound to,Green,Evening,1.5157178279410566
CHA,MIL,Outbound to,Green,Evening,1.5105719297651756
FAT,SMI,Inbound to,Red,Evening,1.5087449588621002
HAR,COW,Outbound to,Green,Morning,1.5054127490053317
BEE,DUN,Outbound to,Green,Morning,1.5031969617644234
BLU,SUI,Inbound to,Red,Midday,1.4955950522324768
COO,KIN,Inbound to,Red,Night,1.4945492087002386
KIN,HOS,Outbound to,Red,Evening,1.4929313112546865
ABB,MYS,Inbound to,Red,Evening,1.4895112366638559
FET,FOR,Outbound to,Red,Evening,1.4869281711194475
KIN,BLU,Inbound to,Red,Midday,1.4815315966976492
TRY,STS,Outbound to,Green,Midday,1.4813386848325312
KYL,SUI,Inbound to,Red,Morning,1.4804992644874053
RED,BEL,Outbound to,Red,Morning,1.471818498509724
GOL,JAM,Inbound to,Red,Evening,1.4701586393827073
PAR,TRY,Outbound to,Green,Morning,1.4644777013400208
BAL,CPK,Outbound to,Green,Morning,1.4596898452905822
RIA,SMI,Inbound to,Red,Midday,1.4581736508371028
BLU,GOL,Inbound to,Red,Night,1.4579474579660607
KIN,CVN,Outbound to,Red,Midday,1.4538555122828172
KIN,HOS,Outbound to,Red,Night,1.4487202697878832
STS,WES,Inbound to,Green,Night,1.4464300528610365
LEO,CHE,Outbound to,Green,Morning,1.4443419931960033
KIN,KYL,Inbound to,Red,Midday,1.439191177184523
FOU,GDK,Inbound to,Red,Evening,1.4318333192249706
RED,BEL,Outbound to,Red,Evening,1.4316170166966926
KIN,FET,Outbound to,Red,Evening,1.4302449603871854
DUN,RAN,Inbound to,Green,Night,1.4259986753928708
ABB,SMI,Outbound to,Red,Evening,1.4259986753928708
MAR,STS,Outbound to,Green,Midday,1.4259986753928708
STS,OUP,Inbound to,Green,Night,1.4259986753928704
SMI,ABB,Inbound to,Red,Morning,1.424483527737285
STI,DUN,Inbound to,Green,Midday,1.4238402070566298
DRI,FAT,Inbound to,Red,Morning,1.4185899491967071
RED,BEL,Outbound to,Red,Midday,1.4181628274508185
KIL,WIN,Inbound to,Green,Midday,1.4172435920212525
BAW,CHE,Outbound to,Green,Morning,1.4169292511058262
BLU,KIN,Outbound to,Red,Evening,1.4165888743889536
BLA,FAT,Inbound to,Red,Night,1.4142135623730951
RED,GOL,Inbound to,Red,Midday,1.4142135623730951
STI,DUN,Outbound to,Green,Evening,1.4142135623730951
CVN,RED,Inbound to,Red,Midday,1.4142135623730951
SMI,JER,Outbound to,Red,Evening,1.4142135623730951
LEO,CHE,Outbound to,Green,Midday,1.4142135623730951
CPK,LEO,Outbound to,Green,Evening,1.4087875760092088
HOS,KIN,Inbound to,Red,Midday,1.4058355551805815
BEE,HAR,Inbound to,Green,Night,1.4050485626128186
KIL,MIL,Inbound to,Green,Midday,1.4026017491314728
HEU,SUI,Outbound to,Red,Morning,1.4026017491314728
OGP,GRA,Inbound to,Green,Evening,1.4024284493533195
HAR,DAW,Outbound to,Green,Evening,1.4024284493533192
GAL,STI,Outbound to,Green,Morning,1.4024284493533192
BLU,KIN,Outbound to,Red,Morning,1.4024284493533192
WES,GRA,Inbound to,Green,Morning,1.4024284493533192
ABB,GDK,Inbound to,Red,Midday,1.40126114542873
RAN,WIN,Outbound to,Green,Morning,1.3989951221244972
COO,KIN,Inbound to,Red,Morning,1.398929364543374
HAR,CHA,Inbound to,Green,Evening,1.3906433363335435
KIL,COW,Inbound to,Green,Morning,1.3906433363335435
LEO,CPK,Outbound to,Green,Evening,1.3906433363335433
BLA,RIA,Inbound to,Red,Midday,1.3899835173749986
GLE,BAW,Outbound to,Green,Morning,1.3882579009963558
GAL,CCK,Outbound to,Green,Midday,1.3856578630019545
BLA,FAT,Inbound to,Red,Evening,1.384512024104017
RED,BLU,Inbound to,Red,Evening,1.3814350928904378
STI,CPK,Inbound to,Green,Midday,1.3788582233137676
LAU,LEO,Outbound to,Green,Morning,1.3788582233137676
CCK,LEO,Inbound to,Green,Morning,1.3750049940263231
LAU,BAW,Inbound to,Green,Morning,1.374330612347201
KIL,MIL,Inbound to,Green,Morning,1.3698900224296684
BLA,RIA,Inbound to,Red,Evening,1.3697298801496078
BEE,WIN,Outbound to,Green,Evening,1.3694451362338016
SMI,ABB,Inbound to,Red,Midday,1.369311754707485
COW,DUN,Outbound to,Green,Midday,1.3662278015706466
DUN,STI,Outbound to,Green,Midday,1.3654512191660573
CHA,MIL,Outbound to,Green,Morning,1.3569257197685016
BRD,MAR,Outbound to,Green,Morning,1.3559744343705993
FOU,GDK,Inbound to,Red,Night,1.3533954176021472
GOL,JAM,Inbound to,Red,Morning,1.352652952646979
KIN,FET,Outbound to,Red,Morning,1.3522006246354972
CVN,BEL,Inbound to,Red,Evening,1.352004138026374
JAM,GOL,Outbound to,Red,Midday,1.3514963811973442
SAN,CPK,Outbound to,Green,Morning,1.350824130217463
DOM,TRY,Outbound to,Green,Morning,1.349778598847499
GOL,FAT,Inbound to,Red,Midday,1.3496383070825237
BRI,CCK,Inbound to,Green,Morning,1.3447285053446363
STI,CPK,Outbound to,Green,Morning,1.3444212595396636
BLU,SUI,Inbound to,Red,Night,1.3435235597322273
RED,DRI,Inbound to,Red,Morning,1.3409634985257386
KIL,CPK,Outbound to,Green,Evening,1.3393228085053426
CVN,BEL,Inbound to,Red,Midday,1.3383003714514468
COW,CHA,Inbound to,Green,Night,1.3355338621337793
CVN,BEL,Inbound to,Red,Morning,1.3339986462287303
MAR,DAW,Outbound to,Green,Night,1.3324978781364327
GDK,MYS,Inbound to,Red,Midday,1.3290363427816505
RED,BLA,Inbound to,Red,Evening,1.3285470658388265
BLU,GOL,Inbound to,Red,Evening,1.3267028575608755
STS,RAN,Outbound to,Green,Midday,1.3230724197615003
DAW,OUP,Inbound to,Green,Morning,1.322545094511035
MAR,DAW,Outbound to,Green,Midday,1.3214106609574336
KIN,COO,Outbound to,Red,Evening,1.3187853078724538
SUI,MUS,Inbound to,Red,Evening,1.3181317556120764
BLA,RIA,Inbound to,Red,Morning,1.3163350532028733
OGP,BRD,Inbound to,Green,Morning,1.312225959531043
