Line,Direction,Stop,PeakPeriod,AvgHeadwayMinutes
Red,Inbound,RED,Evening,10.46399079716453
Red,Inbound,RED,Morning,10.79956990851233
Red,Inbound,RIA,Evening,10.359412340009355
Red,Inbound,RIA,Morning,10.850950112261103
Red,Inbound,SAG,Evening,15.533491471817463
Red,Inbound,SAG,Morning,15.096190858059343
Red,Inbound,SDK,Evening,18.914367816091954
Red,Inbound,SDK,Morning,17.030874316939894
Red,Inbound,SMI,Evening,10.418749195727706
Red,Inbound,SMI,Morning,11.04209196563921
Red,Inbound,SUI,Evening,10.348658515877059
Red,Inbound,SUI,Morning,10.827023308514082
Red,Inbound,TAL,Evening,15.523716623600345
Red,Inbound,TAL,Morning,16.130144569494007
Red,Outbound,ABB,Evening,7.900072469827466
Red,Outbound,ABB,Morning,8.755614073586424
Red,Outbound,BEL,Evening,8.062316956547726
Red,Outbound,BEL,Morning,10.045259593679459
Red,Outbound,BLU,Evening,8.085252966706122
Red,Outbound,BLU,Morning,9.445199780368306
Red,Outbound,BUS,Evening,17.692720797720796
Red,Outbound,BUS,Morning,13.856694176983037
Red,Outbound,CIT,Evening,13.994945717732207
Red,Outbound,CIT,Morning,12.948598207008965
Red,Outbound,CON,Evening,17.699764492753623
Red,Outbound,CON,Morning,14.244300432037221
Red,Outbound,COO,Evening,14.0084450223378
Red,Outbound,COO,Morning,15.917189749496114
Red,Outbound,CVN,Evening,13.49156191301835
Red,Outbound,CVN,Morning,12.527589743589743
Red,Outbound,DRI,Evening,8.100414153236699
Red,Outbound,DRI,Morning,9.215538973904978
Red,Outbound,FET,Evening,13.58567092998049
Red,Outbound,FET,Morning,12.56187481931194
Red,Outbound,FOR,Evening,17.616312056737588
Red,Outbound,FOR,Morning,13.47543859649123
Red,Outbound,FOU,Evening,7.899041069082166
Red,Outbound,FOU,Morning,8.999396481931258
Red,Outbound,GDK,Evening,11.366776055485733
Red,Outbound,GDK,Morning,12.81884248698602
Red,Outbound,GOL,Evening,8.092515655105972
Red,Outbound,GOL,Morning,9.184164369832123
Red,Outbound,HEU,Evening,8.080800024169914
Red,Outbound,HEU,Morning,9.131109000237473
Red,Outbound,HOS,Evening,19.085632183908046
Red,Outbound,HOS,Morning,16.853005464480873
Red,Outbound,JAM,Evening,8.123403030303031
Red,Outbound,JAM,Morning,9.181038750253602
Red,Outbound,JER,Evening,7.896346207668626
Red,Outbound,JER,Morning,8.809223638894995
Red,Outbound,KIN,Evening,8.049825112107623
Red,Outbound,KIN,Morning,9.974730586004346
Red,Outbound,KYL,Evening,8.0871811185845
Red,Outbound,KYL,Morning,9.81401205243248
Red,Outbound,MUS,Evening,8.07510889292196
Red,Outbound,MUS,Morning,9.082750786438309
Red,Outbound,MYS,Evening,11.366981042878079
Red,Outbound,MYS,Morning,12.80102608695652
Red,Outbound,RED,Evening,8.074783422379184
Red,Outbound,RED,Morning,9.92105048305892
Red,Outbound,RIA,Evening,8.1432635000903
Red,Outbound,RIA,Morning,9.20298709280885
Red,Outbound,SDK,Evening,11.36662688383413
Red,Outbound,SDK,Morning,12.802198450134773
Red,Outbound,SMI,Evening,7.898740977001847
Red,Outbound,SMI,Morning,8.997478264073091
Red,Outbound,SUI,Evening,8.135333816468883
Red,Outbound,SUI,Morning,9.203547151155604
Red,Outbound,TPT,Evening,11.43919912513379
Red,Outbound,TPT,Morning,12.845053781418937
